province,region,year,dead,injured/ill,missing,affected_families,affected_persons,dmg_house_totally,dmg_house_partial,cost_agri,cost_infra,cost_house,cost_priv,cost_others,cost_total
Dagupan,I,2020,0,0,0,33,285,0,0,0.0,5000000.0,0.0,0.0,0.0,5000000.0
Ilocos Norte,I,2020,0,0,0,2061,8237,0,11,12055409.16,351800000.0,0.0,0.0,0.0,363855409.16
Pangasinan,I,2020,0,0,1,20554,101613,118,2816,480009180.87,796010000.0,0.0,0.0,0.0,1276019180.87
Ilocos Sur,I,2020,0,0,0,0,0,0,0,3019000.0,0.0,0.0,0.0,0.0,3019000.0
La Union,I,2020,0,0,0,21,61,1,10,13105898.0,0.0,0.0,0.0,0.0,13105898.0
IIII,I,2020,0,0,0,0,0,0,0,228671.5,0.0,0.0,0.0,0.0,228671.5
Bataan,I,2020,0,0,0,0,0,0,0,1780.0,0.0,0.0,0.0,0.0,1780.0
Nueva Ecija,I,2020,0,0,0,0,0,0,0,180000.0,0.0,0.0,0.0,0.0,180000.0
Pampanga,I,2020,0,0,0,0,0,0,0,46891.5,0.0,0.0,0.0,0.0,46891.5
without breakdown,I,2020,0,0,0,0,0,0,0,0.0,7500000.0,0.0,0.0,0.0,7500000.0
Cagayan,II,2020,2,0,1,24197,92686,4,3,663157918.94,872805000.0,0.0,0.0,0.0,1535962918.94
Nueva Vizcaya,II,2020,0,0,0,180,685,0,4,105882705.13,59800000.0,0.0,0.0,0.0,165682705.13
Quirino,II,2020,0,0,0,133,449,0,0,41694934.2,206910000.0,0.0,0.0,0.0,248604934.2
Isabela,II,2020,0,0,0,7412,28666,0,0,735646832.3199999,224800000.0,0.0,0.0,0.0,960446832.32
Batanes,II,2020,0,0,0,0,0,0,0,755000.0,0.0,0.0,0.0,0.0,755000.0
without breakdown,II,2020,0,0,0,0,0,0,0,0.0,37000000.0,0.0,0.0,0.0,37000000.0
Aurora,III,2020,0,2,0,5233,18338,0,0,75090812.8,8000000.0,0.0,0.0,0.0,83090812.8
Bulacan,III,2020,0,0,0,50453,221870,4,2,83918389.35,0.0,0.0,0.0,0.0,83918389.35
Nueva Ecija,III,2020,0,0,0,13015,56873,0,0,85382503.08,0.0,0.0,0.0,0.0,85382503.08
Pampanga,III,2020,0,0,0,88373,397889,0,0,203359291.04,0.0,0.0,0.0,0.0,203359291.04
Bataan,III,2020,0,0,0,2945,11549,0,0,63159303.0,0.0,0.0,0.0,0.0,63159303.0
Tarlac,III,2020,0,0,0,2951,14064,0,0,22165659.0,0.0,0.0,0.0,0.0,22165659.0
Zambales,III,2020,0,0,0,691,2520,0,0,6614995.61,0.0,0.0,0.0,0.0,6614995.61
without breakdown,III,2020,0,0,0,0,0,0,0,0.0,114500000.0,0.0,0.0,0.0,114500000.0
Cavite,CALABARZON,2020,0,0,0,3311,13505,7,7,120966233.36,401502000.0,0.0,0.0,0.0,522468233.36
Laguna,CALABARZON,2020,2,1,0,10167,40304,27,230,324506978.02,95640000.0,0.0,0.0,0.0,420146978.02
Quezon,CALABARZON,2020,4,6,0,119685,455358,1996,22081,2357918882.79,499030000.0,0.0,0.0,0.0,2856948882.79
Rizal,CALABARZON,2020,1,0,0,2906,12572,0,0,35199942.2,0.0,0.0,0.0,0.0,35199942.2
Batangas,CALABARZON,2020,4,3,1,28398,114022,647,7842,860227036.04,1232237049.09,0.0,0.0,0.0,2092464085.13
without breakdown,CALABARZON,2020,0,0,0,0,0,0,0,0.0,228500000.0,0.0,0.0,0.0,228500000.0
Marinduque,MIMAROPA,2020,2,8,1,23538,101399,794,14097,232508004.72,597541534.73,0.0,0.0,0.0,830049539.45
Romblon,MIMAROPA,2020,1,0,0,5162,18955,17,424,34119065.620000005,37339400.0,0.0,0.0,0.0,71458465.62
Occidental Mindoro,MIMAROPA,2020,4,0,3,17586,74437,1690,5826,953632154.09,94842283.12,0.0,0.0,0.0,1048474437.21
Oriental Mindoro,MIMAROPA,2020,1,3,0,48767,220669,3513,35339,2991148656.65,1782861033.87,0.0,0.0,0.0,4774009690.52
Palawan,MIMAROPA,2020,2,0,0,614,2384,0,0,222759687.02,18250000.0,0.0,0.0,0.0,241009687.02
without breakdown,MIMAROPA,2020,0,0,0,0,0,0,0,0.0,29500000.0,0.0,0.0,0.0,29500000.0
Albay,V,2020,13,18,3,212331,788586,18050,72501,4192927766.8,40517747272.02,0.0,0.0,159756378.78,44870431417.600006
Camarines Norte,V,2020,5,4,1,78628,341293,4579,29873,795253712.17,1725362625.58,0.0,0.0,34885200.0,2555501537.75
Camarines Sur,V,2020,7,91,0,204237,839400,14636,82630,4727722211.780001,17182194101.52,0.0,0.0,922687242.34,22832603555.64
Catanduanes,V,2020,13,306,1,70199,275419,13341,24637,4918804555.34,11543729865.24,0.0,0.0,51241900.0,16513776320.580002
Masbate,V,2020,0,0,0,20516,85939,234,1554,271220167.54,325470000.0,0.0,0.0,4840600.0,601530767.54
Sorsogon,V,2020,0,6,0,55198,228041,457,8142,470355530.78,324439865.24,0.0,0.0,10433900.0,805229296.02
Naga,V,2020,0,0,0,0,0,0,0,0.0,998353800.0,0.0,0.0,28107100.0,1026460900.0
without breakdown,V,2020,0,0,0,0,0,0,0,0.0,5335500000.0,0.0,0.0,0.0,5335500000.0
Negros Occidental,VI,2020,0,0,0,561,2222,3,42,45410777.4,0.0,0.0,0.0,0.0,45410777.4
Aklan,VI,2020,0,0,0,0,0,0,0,1226045.0,0.0,0.0,0.0,0.0,1226045.0
Antique,VI,2020,1,0,0,1323,4982,5,54,40888603.75,0.0,0.0,0.0,0.0,40888603.75
Capiz,VI,2020,0,0,0,3,15,0,0,33073748.22,0.0,0.0,0.0,0.0,33073748.22
Iloilo,VI,2020,1,0,0,3329,17775,7,23,96965140.85,0.0,0.0,0.0,0.0,96965140.85
Cebu,VII,2020,0,0,0,4066,20330,7,0,0.0,0.0,0.0,0.0,0.0,0.0
Negros Oriental,VII,2020,3,0,0,1105,5102,6,1,0.0,0.0,0.0,0.0,0.0,0.0
Eastern Samar,VIII,2020,3,190,0,42098,166473,2984,12448,65603358.1,0.0,0.0,0.0,0.0,65603358.1
Northern Samar,VIII,2020,1,68,0,95550,402681,4662,37169,114714148.53,0.0,0.0,0.0,0.0,114714148.53
Samar,VIII,2020,0,17,0,1476,5861,18,1353,10251400.0,0.0,0.0,0.0,0.0,10251400.0
Biliran,VIII,2020,0,0,0,93,399,2,0,686308.5,0.0,0.0,0.0,0.0,686308.5
Leyte,VIII,2020,2,2,0,12,38,0,0,4198284.0,0.0,0.0,0.0,0.0,4198284.0
Southern Leyte,VIII,2020,0,0,0,0,0,0,0,175351.5,0.0,0.0,0.0,0.0,175351.5
without breakdown,VIII,2020,0,0,0,0,0,0,0,0.0,3500000.0,0.0,0.0,0.0,3500000.0
Bukidnon,X,2020,1,0,0,88,327,0,0,72042786.74,9340000.0,0.0,0.0,0.0,81382786.74
Davao de Oro,XI,2020,1,0,0,249,1141,0,1,72042786.74,9340000.0,0.0,0.0,0.0,81382786.74
Davao del Norte,XI,2020,0,0,0,310,1530,0,0,33427840.0,0.0,0.0,0.0,0.0,33427840.0
Davao Oriental,XI,2020,1,0,0,938,3298,0,0,28965000.0,0.0,0.0,0.0,0.0,28965000.0
Agusan del Norte,CARAGA,2020,0,0,0,641,2709,0,0,12315201.0,0.0,0.0,0.0,0.0,12315201.0
Agusan del Sur,CARAGA,2020,3,0,2,31516,135883,365,61,28601543.0,0.0,0.0,0.0,0.0,28601543.0
Butuan,CARAGA,2020,0,0,0,852,4066,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Dinagat Islands,CARAGA,2020,0,0,0,2,10,2,0,698415.0,0.0,0.0,0.0,0.0,698415.0
Surigao del Norte,CARAGA,2020,0,0,0,564,2232,0,0,4144014.0,0.0,0.0,0.0,0.0,4144014.0
Surigao del Sur,CARAGA,2020,7,0,0,31052,131840,82,1052,67164420.0,0.0,0.0,0.0,0.0,67164420.0
Parañaque,NCR,2020,0,0,0,690,2824,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Manila,NCR,2020,0,0,0,2222,9015,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Marikina,NCR,2020,6,0,2,4780,21568,0,37523,0.0,0.0,0.0,0.0,0.0,0.0
Muntinlupa,NCR,2020,0,0,0,3843,15449,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Pateros,NCR,2020,0,0,0,121,442,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Quezon,NCR,2020,0,0,0,977,3872,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Caloocan,NCR,2020,0,0,0,244,931,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Las Piñas,NCR,2020,0,0,0,115,378,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Malabon,NCR,2020,0,0,0,291,1210,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Mandaluyong,NCR,2020,0,0,0,492,2047,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Navotas,NCR,2020,0,0,0,1100,4350,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Pasig,NCR,2020,0,0,0,954,3801,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Taguig,NCR,2020,2,0,0,1014,4045,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Valenzuela,NCR,2020,1,0,0,978,3597,0,0,0.0,0.0,0.0,0.0,0.0,0.0
without breakdown,NCR,2020,0,0,0,0,0,0,0,1156000.0,5000000.0,0.0,0.0,0.0,6156000.0
Makati,NCR,2020,0,0,0,70,260,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Pasay,NCR,2020,0,0,0,110,365,0,0,0.0,0.0,0.0,0.0,0.0,0.0
San Juan,NCR,2020,0,0,0,112,427,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Abra,CAR,2020,0,0,0,0,0,0,0,0.0,7400000.0,0.0,0.0,0.0,7400000.0
Benguet,CAR,2020,0,0,0,37,146,1,0,2311856.0,0.0,0.0,0.0,0.0,2311856.0
Ifugao,CAR,2020,1,1,0,192,748,0,0,10360482.74,100000.0,0.0,0.0,0.0,10460482.74
Apayao,CAR,2020,0,0,0,157,639,2,2,3338683.2,0.0,0.0,0.0,0.0,3338683.2
Kalinga,CAR,2020,0,0,0,2,8,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Mountain Province,CAR,2020,0,0,0,4,10,0,0,3799800.0,0.0,0.0,0.0,0.0,3799800.0
without breakdown,CAR,2020,0,0,0,0,0,0,0,0.0,8000000.0,0.0,0.0,0.0,8000000.0
Dagupan,I,2021,0,0,0,312,1102,0,0,810000.0,37500.0,0.0,0.0,0.0,847500.0
Ilocos Norte,I,2021,3,3,1,732,2655,0,0,137699095.56,269658000.0,0.0,0.0,0.0,407357095.56
Ilocos Sur,I,2021,17,0,4,78736,298793,0,0,1177443524.01,2144813961.6,0.0,0.0,0.0,3322257485.61
La Union,I,2021,2,0,5,89045,319841,6,130,674106188.49,463268077.0,0.0,0.0,0.0,1137374265.49
Pangasinan,I,2021,7,0,0,66976,316829,0,0,6234000.0,231505000.0,0.0,0.0,0.0,237739000.0
Isabela,II,2021,0,0,0,350,1167,0,0,137889308.29,237700000.0,0.0,0.0,0.0,375589308.29
Batanes,II,2021,0,27,0,6004,20570,0,0,85290445.75,237368591.37,0.0,0.0,0.0,322659037.12
Cagayan,II,2021,2,0,1,23500,84928,0,0,762933618.0799999,148701550.0,0.0,0.0,0.0,911635168.08
Quirino,II,2021,0,0,0,0,0,0,0,285580.0,2567570.0,0.0,0.0,0.0,2853150.0
Nueva Vizcaya,II,2021,0,0,0,37,180,0,0,200856281.78,322394000.0,0.0,0.0,0.0,523250281.78
Bataan,III,2021,0,0,0,225,881,0,1,72636939.47,0.0,0.0,0.0,0.0,72636939.47
Bulacan,III,2021,0,0,0,19822,64427,0,0,37283374.4,0.0,0.0,0.0,0.0,37283374.4
Pampanga,III,2021,0,0,0,20581,95070,0,2,10935293.45,0.0,0.0,0.0,0.0,10935293.45
Zambales,III,2021,0,2,0,633,1355,0,0,7515560.92,0.0,0.0,0.0,0.0,7515560.92
Olongapo,III,2021,0,0,0,4,21,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Tarlac,III,2021,0,0,0,0,0,0,0,35600.0,0.0,0.0,0.0,0.0,35600.0
Aurora,III,2021,0,0,0,0,0,0,0,9793469.84,0.0,0.0,0.0,0.0,9793469.84
Nueva Ecija,III,2021,0,0,0,0,0,0,0,29705380.0,0.0,0.0,0.0,0.0,29705380.0
Batangas,CALABARZON,2021,3,3,1,13267,52017,298,4230,1357877494.14,590509999.5,0.0,0.0,0.0,1948387493.64
Cavite,CALABARZON,2021,0,0,0,2636,9311,38,47,294014888.42,619622000.0,0.0,0.0,0.0,913636888.42
Laguna,CALABARZON,2021,0,0,0,2112,8599,0,23,120034152.95,0.0,0.0,0.0,0.0,120034152.95
Quezon,CALABARZON,2021,1,1,0,8016,31303,63,1053,162306513.03,30945000.0,0.0,0.0,514600.0,193766113.03
Rizal,CALABARZON,2021,0,0,0,4892,17112,0,0,1377077.52,298750000.0,0.0,0.0,0.0,300127077.52
Occidental Mindoro,MIMAROPA,2021,0,0,0,16292,78861,21,78,313606597.2,193953000.0,0.0,0.0,25967200.0,533526797.2
Oriental Mindoro,MIMAROPA,2021,0,0,0,11964,55165,23,68,511198885.01,61110755.0,0.0,0.0,17489997.98,589799637.99
Palawan,MIMAROPA,2021,30,2,8,126081,429664,15463,74319,4765160446.59,1428574142.18,0.0,0.0,6162953899.02,12356688487.79
Romblon,MIMAROPA,2021,1,0,0,494,1971,2,21,7417492.5,25390000.0,0.0,0.0,0.0,32807492.5
Marinduque,MIMAROPA,2021,3,3,0,4134,14275,8,1294,172185436.36999995,12885800.0,0.0,0.0,0.0,185071236.37
Camarines Sur,V,2021,0,0,0,5262,21234,1,0,219864309.39,0.0,0.0,0.0,211300.0,220075609.39
Sorsogon,V,2021,0,0,0,828,3063,0,0,6682551.08,12500000.0,0.0,0.0,145675.0,19328226.08
Albay,V,2021,0,0,0,22290,83628,0,0,98830027.86,36800000.0,0.0,0.0,640500.0,136270527.86
Camarines Norte,V,2021,0,0,0,113,467,0,0,16662639.0,18000000.0,0.0,0.0,0.0,34662639.0
Catanduanes,V,2021,0,0,0,14652,58170,2,2,12587638.2,0.0,0.0,0.0,0.0,12587638.2
Masbate,V,2021,6,1,1,8296,35589,330,1962,98258285.73,566705253.0,0.0,0.0,20000.0,664983538.73
without breakdown,V,2021,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Aklan,VI,2021,0,0,0,21639,82934,20,1624,20428800.69,0.0,0.0,0.0,10256229.29,30685029.98
Negros Occidental,VI,2021,50,173,7,393437,1521772,56410,266947,4140785351.66,0.0,0.0,0.0,4066175310.33,8206960661.99
Antique,VI,2021,0,0,0,45718,179157,2392,20189,194905270.7,2100000.0,0.0,0.0,172163358.82,369168629.52
Iloilo,VI,2021,3,0,0,182732,716899,2383,64077,1208987117.23,16824600.0,0.0,0.0,1158465069.27,2384276786.5
Capiz,VI,2021,1,0,0,68754,242455,34,599,238085027.18,0.0,0.0,0.0,217861673.01,455946700.19
Guimaras,VI,2021,2,0,0,21553,83198,759,12000,557757431.34,0.0,0.0,0.0,557757431.34,1115514862.68
without breakdown,VII,2021,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Bohol,VII,2021,96,94,15,384662,1335763,93634,206500,872437289.0,736777046.0,0.0,0.0,1592732659.0,3201946994.0
Cebu,VII,2021,59,361,12,808913,2487418,127509,580508,282700000.0,3479385237.92,0.0,0.0,3762085237.92,7524170475.84
Negros Oriental,VII,2021,66,91,6,152794,523307,24360,109042,128441700.0,0.0,0.0,0.0,128441700.0,256883400.0
Siquijor,VII,2021,0,0,0,4730,16592,156,4509,7000000.0,0.0,0.0,0.0,7000000.0,14000000.0
Leyte,VIII,2021,11,14,0,154754,599483,17064,71567,821660251.28,176400000.0,0.0,0.0,949638677.0,1947698928.28
Southern Leyte,VIII,2021,25,94,4,122303,479358,35097,63309,1751884500.88,0.0,0.0,0.0,1751281794.0,3503166294.88
Biliran,VIII,2021,0,3,0,3050,14812,38,788,326754928.58,0.0,0.0,0.0,0.0,326754928.58
Eastern Samar,VIII,2021,0,15,1,151453,583048,260,10864,207628505.26,0.0,0.0,0.0,176550.0,207805055.26
Northern Samar,VIII,2021,0,0,0,34398,156654,72,407,5295002.26,0.0,0.0,0.0,1371264.0,6666266.26
Samar,VIII,2021,5,11,0,28489,131935,267,5643,230180596.8,50000.0,0.0,0.0,726000.0,230956596.8
without breakdown,VIII,2021,1,3,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Zamboanga del Norte,IX,2021,1,2,0,535,495,1,23,143750.0,0.0,0.0,0.0,0.0,143750.0
Zamboanga del Sur,IX,2021,0,0,0,0,0,0,0,13153669.25,0.0,0.0,0.0,0.0,13153669.25
Zamboanga Sibugay,IX,2021,0,0,0,9111,45075,4,11,8922968.44,0.0,0.0,0.0,0.0,8922968.44
Zambaonga del Sur,IX,2021,0,0,0,243,1115,135,80,0.0,0.0,0.0,0.0,0.0,0.0
Lanao del Norte,X,2021,0,0,0,3356,18123,15,42,46414505.0,741000.0,0.0,0.0,45471305.0,92626810.0
Misamis Oriental,X,2021,5,25,0,31081,113500,484,3238,208535472.06,548029000.0,0.0,0.0,756564472.06,1513128944.12
Bukidnon,X,2021,2,2,0,6940,24104,68,75,863663616.54,139172000.0,0.0,0.0,1002835616.54,2005671233.08
Camiguin,X,2021,0,0,0,3910,15461,282,2999,7129790.22,0.0,0.0,0.0,7129790.22,14259580.44
Misamis Occidental,X,2021,1,1,0,1793,6223,9,38,5379232.0,1700000.0,0.0,0.0,7079232.0,14158464.0
Davao de Oro,XI,2021,2,0,0,862,3005,3,4,9168355.47,0.0,0.0,0.0,9168355.47,18336710.94
Davao del Norte,XI,2021,0,0,0,6296,31480,0,0,5257284.19,0.0,0.0,0.0,2136268.69,7393552.88
Davao Oriental,XI,2021,0,2,0,2913,14546,2,95,44457675.63,0.0,0.0,0.0,41957675.63,86415351.26
without breakdown,XI,2021,1,11,2,0,0,0,0,0.0,15500000.0,0.0,0.0,0.0,15500000.0
Davao,XI,2021,0,0,0,160,612,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Davao del Sur,XI,2021,1,0,0,127,298,2,0,1522595.0,0.0,0.0,0.0,1522595.0,3045190.0
South Cotabato,XII,2021,0,0,0,37,170,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Cotabato,XII,2021,0,0,0,24426,98164,1,0,10203400.0,20000000.0,0.0,0.0,30203400.0,60406800.0
Agusan del Norte,CARAGA,2021,2,5,0,58178,241618,2861,9332,132133284.88,281467600.0,0.0,0.0,401971628.88,815572513.76
Agusan del Sur,CARAGA,2021,7,0,5,35605,131149,138,512,222540570.0,106300000.0,0.0,0.0,271096932.0,599937502.0
Dinagat Islands,CARAGA,2021,24,122,0,41813,160038,16343,14112,274970363.2,4271328067.54,0.0,0.0,4545073348.74,9091371779.48
Surigao del Norte,CARAGA,2021,38,376,0,185230,684565,50688,74024,1186862927.34,18027986988.3,0.0,0.0,19198480771.64,38413330687.28
Surigao del Sur,CARAGA,2021,0,5,0,139598,533392,748,9434,121389345.0,161669436.02,0.0,0.0,181566110.0,464624891.02
without breakdown,CARAGA,2021,7,9,4,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Butuan,CARAGA,2021,0,0,0,1338,4980,0,0,1274400.0,0.0,0.0,0.0,0.0,1274400.0
BARMM,CARAGA,2021,0,0,0,8537,38123,13,60,0.0,0.0,0.0,0.0,0.0,0.0
Lanao del Sur,CARAGA,2021,0,0,0,8251,36693,13,60,0.0,0.0,0.0,0.0,0.0,0.0
Maguindanao,CARAGA,2021,0,0,0,286,1430,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Metro Manila,NCR,2021,0,0,0,6670,27093,20,0,0.0,0.0,0.0,0.0,0.0,0.0
Caloocan,NCR,2021,0,0,0,1,5,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Muntinlupa,NCR,2021,0,0,0,46,181,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Taguig,NCR,2021,0,0,0,5,17,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Manila,NCR,2021,0,0,0,11,44,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Abra,CAR,2021,0,0,0,39846,147813,0,1,196027487.47,52469681.0,0.0,0.0,0.0,248497168.47
Benguet,CAR,2021,10,6,1,8121,27484,3,51,53397519.77,93783957.39,0.0,0.0,0.0,147181477.16
Kalinga,CAR,2021,0,0,0,8,51,2,0,39056044.79,4136500.0,0.0,0.0,0.0,43192544.79
Mountain Province,CAR,2021,0,0,0,1463,7192,0,0,37180829.43,53680000.0,0.0,0.0,0.0,90860829.43
Apayao,CAR,2021,0,0,0,81,279,0,0,57531857.93,94449906.36,0.0,0.0,0.0,151981764.29
Ifugao,CAR,2021,0,0,0,4,21,0,0,3912155.66,16205000.0,0.0,0.0,0.0,20117155.66
Ilocos Norte,I,2022,1,2,0,10667,39683,4,160,6971833.0,855280000.0,0.0,0.0,0.0,862251833.0
Ilocos Sur,I,2022,0,0,0,751,2818,1,19,2176411.0,103420000.0,0.0,0.0,0.0,105596411.0
La Union,I,2022,0,0,0,1475,5271,18,704,13150477.6,0.0,0.0,0.0,0.0,13150477.6
Pangasinan,I,2022,0,0,0,16819,74268,28,523,50457368.0,24950000.0,0.0,0.0,0.0,75407368.0
Dagupan,I,2022,0,0,0,11279,44096,0,6,0.0,0.0,0.0,0.0,0.0,0.0
Cagayan,II,2022,4,1,0,109174,389780,94,110,2709617601.92,899304647.37,0.0,0.0,0.0,3608922249.29
Isabela,II,2022,0,0,0,47855,180214,2,3,1073837445.32,227182391.2,0.0,0.0,0.0,1301019836.52
Nueva Vizcaya,II,2022,1,0,1,1861,6639,6,32,364639512.71,338270000.0,0.0,0.0,0.0,702909512.71
Quirino,II,2022,0,0,0,1152,3587,0,2,26586052.05,153541237.5,0.0,0.0,0.0,180127289.55
Batanes,II,2022,0,0,0,2,10,0,0,7460819.21,0.0,0.0,0.0,0.0,7460819.21
Aurora,III,2022,0,32,0,14184,50593,443,3898,85490390.82,10000000.0,0.0,0.0,0.0,95490390.82
Bataan,III,2022,0,0,0,18348,72907,10,81,124246192.46,0.0,0.0,0.0,0.0,124246192.46
Tarlac,III,2022,0,0,0,9061,34288,332,3729,346631934.18,2500000.0,0.0,0.0,0.0,349131934.18
Zambales,III,2022,3,5,0,2845,9421,138,357,37965712.49,0.0,0.0,0.0,0.0,37965712.49
Bulacan,III,2022,7,14,0,174086,645771,695,5074,879752835.48,10000000.0,0.0,0.0,0.0,889752835.48
Nueva Ecija,III,2022,0,26,0,195712,742089,10390,66691,1117486981.9,0.0,0.0,0.0,0.0,1117486981.9
Pampanga,III,2022,0,0,0,45471,150183,67,1972,570871181.8,9200000.0,0.0,0.0,0.0,580071181.8
Rizal,CALABARZON,2022,6,2,0,13741,58836,14,21,61698967.7,142679977.81,0.0,0.0,721700.0,205100645.51
Cavite,CALABARZON,2022,10,0,0,187912,735279,267,2569,134534459.73,184976600.0,0.0,0.0,21681500.0,341192559.73
Quezon,CALABARZON,2022,8,10,0,69180,254934,3924,22508,912214114.62,1111221000.0,0.0,0.0,132036230.0,2155471344.62
Laguna,CALABARZON,2022,8,14,1,84171,340028,760,3044,215992643.54,611230800.0,0.0,0.0,82864700.0,910088143.54
Batangas,CALABARZON,2022,6,1,2,20237,84675,244,5088,653510185.2800001,564496100.0,0.0,0.0,4110400.0,1222116685.28
