province,region,year,dead,injured/ill,missing,affected_families,affected_persons,dmg_house_totally,dmg_house_partial,cost_agri,cost_infra,cost_house,cost_priv,cost_others,cost_total
Kalinga,CAR,2021,0,0,0,8,51,2,0,39056044.79,4136500.0,0.0,0.0,0.0,43192544.79
Kalinga,CAR,2022,2,0,0,2217,10208,4,381,16889332.34,190012452.19,0.0,0.0,0.0,206901784.53
Kalinga,CAR,2024,0,0,0,3100,12144,0,0,421887.0,0.0,0.0,0.0,0.0,421887.0
La Union,I,2020,0,0,0,21,61,1,10,13105898.0,0.0,0.0,0.0,0.0,13105898.0
La Union,I,2021,2,0,5,89045,319841,6,130,674106188.49,463268077.0,0.0,0.0,0.0,1137374265.49
La Union,I,2022,0,0,0,1475,5271,18,704,13150477.6,0.0,0.0,0.0,0.0,13150477.6
La Union,I,2023,0,0,0,2,8,0,1,0.0,0.0,0.0,0.0,0.0,0.0
La Union,I,2024,1,1,2,51745,174047,7,496,63747734.0,596380000.0,0.0,500000.0,0.0,660627734.0
Laguna,CALABARZON,2020,2,1,0,10167,40304,27,230,324506978.02,95640000.0,0.0,0.0,0.0,420146978.02
Laguna,CALABARZON,2021,0,0,0,2112,8599,0,23,120034152.95,0.0,0.0,0.0,0.0,120034152.95
Laguna,CALABARZON,2022,8,14,1,84171,340028,760,3044,215992643.54,611230800.0,0.0,0.0,82864700.0,910088143.54
Laguna,CALABARZON,2023,0,0,0,0,0,0,0,2000000.0,0.0,0.0,0.0,0.0,2000000.0
Laguna,CALABARZON,2024,0,0,0,191753,868154,104,1388,80500978.0,192309321.9,0.0,0.0,0.0,272810299.9
Lanao del Norte,X,2021,0,0,0,3356,18123,15,42,46414505.0,741000.0,0.0,0.0,45471305.0,92626810.0
Lanao del Norte,X,2022,0,0,0,282,1313,19,140,0.0,0.0,0.0,0.0,0.0,0.0
Lanao del Norte,X,2023,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Lanao del Norte,X,2024,1,2,0,2159,8907,0,3,16589081.96,410000.0,20000.0,0.0,0.0,17019081.96
Lanao del Sur,CARAGA,2021,0,0,0,8251,36693,13,60,0.0,0.0,0.0,0.0,0.0,0.0
Lanao del Sur,CARAGA,2022,0,0,0,3739,550,0,0,2142000.0,0.0,0.0,0.0,0.0,2142000.0
Lanao del Sur,CARAGA,2024,4,3,0,12786,63918,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Leyte,VIII,2020,2,2,0,12,38,0,0,4198284.0,0.0,0.0,0.0,0.0,4198284.0
Leyte,VIII,2021,11,14,0,154754,599483,17064,71567,821660251.28,176400000.0,0.0,0.0,949638677.0,1947698928.28
Leyte,VIII,2022,187,11,131,136674,518572,445,6274,897131508.24,0.0,0.0,0.0,0.0,897131508.24
Leyte,VIII,2024,0,0,0,7300,23326,0,0,9557221.86,51219062.93,0.0,0.0,0.0,60776284.79
Maguindanao,CARAGA,2021,0,0,0,286,1430,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Maguindanao,CARAGA,2022,66,164,13,202269,735525,1062,1153,583876546.67,511200000.0,0.0,0.0,0.0,1095076546.67
Maguindanao,CARAGA,2024,2,3,0,229800,1146709,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Maguindanao,XII,2024,0,0,0,29571,147855,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Marinduque,MIMAROPA,2020,2,8,1,23538,101399,794,14097,232508004.72,597541534.73,0.0,0.0,0.0,830049539.45
Marinduque,MIMAROPA,2021,3,3,0,4134,14275,8,1294,172185436.36999995,12885800.0,0.0,0.0,0.0,185071236.37
Marinduque,MIMAROPA,2022,2,4,0,25620,92228,108,2467,39412804.13,1105088000.0,0.0,0.0,0.0,1144500804.13
Marinduque,MIMAROPA,2024,0,0,0,15750,48617,0,0,5162400.0,0.0,0.0,0.0,0.0,5162400.0
Masbate,V,2020,0,0,0,20516,85939,234,1554,271220167.54,325470000.0,0.0,0.0,4840600.0,601530767.54
Masbate,V,2021,6,1,1,8296,35589,330,1962,98258285.73,566705253.0,0.0,0.0,20000.0,664983538.73
Masbate,V,2022,0,0,0,3948,15622,3,112,135211867.95999998,124062980.0,0.0,0.0,317302099.63,576576947.59
Masbate,V,2024,0,0,0,46667,165598,0,2,516000.0,200000.0,100000.0,0.0,0.0,816000.0
Metro Manila,NCR,2020,9,0,2,17136,70709,0,37523,0.0,0.0,0.0,0.0,0.0,0.0
Metro Manila,NCR,2021,0,0,0,6733,27340,20,0,0.0,0.0,0.0,0.0,0.0,0.0
Metro Manila,NCR,2022,0,1,0,10885,45017,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Metro Manila,NCR,2024,22,0,0,327816,1309360,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Misamis Occidental,X,2021,1,1,0,1793,6223,9,38,5379232.0,1700000.0,0.0,0.0,7079232.0,14158464.0
Misamis Occidental,X,2022,0,0,0,6,30,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Misamis Occidental,X,2023,0,0,0,87,315,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Misamis Occidental,X,2024,0,0,0,92,463,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Misamis Oriental,X,2021,5,25,0,31081,113500,484,3238,208535472.06,548029000.0,0.0,0.0,756564472.06,1513128944.12
Misamis Oriental,X,2022,0,0,0,1228,5421,76,532,1354500.0,110300000.0,0.0,0.0,0.0,111654500.0
Misamis Oriental,X,2023,0,0,0,18,53,0,1,0.0,0.0,0.0,0.0,0.0,0.0
Misamis Oriental,X,2024,1,4,1,8935,23986,2,9,0.0,0.0,90100.0,0.0,0.0,90100.0
Mountain Province,CAR,2020,0,0,0,4,10,0,0,3799800.0,0.0,0.0,0.0,0.0,3799800.0
Mountain Province,CAR,2021,0,0,0,1463,7192,0,0,37180829.43,53680000.0,0.0,0.0,0.0,90860829.43
Mountain Province,CAR,2022,0,0,0,677,2389,7,47,8608722.93,101332840.0,0.0,0.0,0.0,109941562.93
Mountain Province,CAR,2023,0,0,0,55,211,1,23,0.0,0.0,0.0,0.0,0.0,0.0
Mountain Province,CAR,2024,0,0,0,2119,7451,1,72,1519182.17,68666670.0,0.0,0.0,0.0,70185852.17
Negros Occidental,VI,2020,0,0,0,561,2222,3,42,45410777.4,0.0,0.0,0.0,0.0,45410777.4
Negros Occidental,VI,2021,50,173,7,393437,1521772,56410,266947,4140785351.66,0.0,0.0,0.0,4066175310.33,8206960661.99
Negros Occidental,VI,2022,2,0,0,86514,374178,387,3680,356088964.04,0.0,0.0,0.0,0.0,356088964.04
Negros Occidental,VI,2023,0,0,0,6835,30077,1,31,2474596.0,0.0,0.0,0.0,0.0,2474596.0
Negros Occidental,VI,2024,3,0,0,103543,399812,5,8,9860228.35,0.0,0.0,0.0,0.0,9860228.35
Negros Oriental,VII,2020,3,0,0,1105,5102,6,1,0.0,0.0,0.0,0.0,0.0,0.0
Negros Oriental,VII,2021,66,91,6,152794,523307,24360,109042,128441700.0,0.0,0.0,0.0,128441700.0,256883400.0
Negros Oriental,VII,2022,1,0,0,273,1083,0,2,0.0,5000000.0,0.0,0.0,0.0,5000000.0
Negros Oriental,VII,2024,0,0,0,2137,5207,3,9,0.0,0.0,0.0,0.0,0.0,0.0
Northern Samar,VIII,2020,1,68,0,95550,402681,4662,37169,114714148.53,0.0,0.0,0.0,0.0,114714148.53
Northern Samar,VIII,2021,0,0,0,34398,156654,72,407,5295002.26,0.0,0.0,0.0,1371264.0,6666266.26
Northern Samar,VIII,2022,0,5,0,10415,43359,1,49,7335622.64,0.0,0.0,0.0,0.0,7335622.64
Northern Samar,VIII,2024,2,4,0,200431,767124,18,494,4117450.38,0.0,0.0,0.0,0.0,4117450.38
Nueva Ecija,III,2020,0,0,0,13015,56873,0,0,85562503.08,0.0,0.0,0.0,0.0,85562503.08
Nueva Ecija,III,2021,0,0,0,0,0,0,0,29705380.0,0.0,0.0,0.0,0.0,29705380.0
Nueva Ecija,III,2022,0,26,0,195712,742089,10390,66691,1117486981.9,0.0,0.0,0.0,0.0,1117486981.9
Nueva Ecija,III,2023,0,0,0,0,0,0,0,6474223.36,0.0,0.0,0.0,0.0,6474223.36
Nueva Ecija,III,2024,0,0,0,138205,506284,0,0,1478641317.02,30500000.0,0.0,0.0,0.0,1509141317.02
Nueva Vizcaya,II,2020,0,0,0,180,685,0,4,105882705.13,59800000.0,0.0,0.0,0.0,165682705.13
Nueva Vizcaya,II,2021,0,0,0,37,180,0,0,200856281.78,322394000.0,0.0,0.0,0.0,523250281.78
Nueva Vizcaya,II,2022,1,0,1,1861,6639,6,32,364639512.71,338270000.0,0.0,0.0,0.0,702909512.71
Nueva Vizcaya,II,2024,0,0,0,12204,42401,0,34,43993222.16,62440000.0,0.0,0.0,0.0,106433222.16
Occidental Mindoro,MIMAROPA,2020,4,0,3,17586,74437,1690,5826,953632154.09,94842283.12,0.0,0.0,0.0,1048474437.21
Occidental Mindoro,MIMAROPA,2021,0,0,0,16292,78861,21,78,313606597.2,193953000.0,0.0,0.0,25967200.0,533526797.2
Occidental Mindoro,MIMAROPA,2022,0,0,0,4168,17473,43,239,191682326.14,2425400.0,0.0,0.0,0.0,194107726.14
Occidental Mindoro,MIMAROPA,2023,0,0,0,316,1059,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Occidental Mindoro,MIMAROPA,2024,0,0,0,21099,87664,20,144,62954724.74,69225610.86,0.0,0.0,0.0,132180335.6
Oriental Mindoro,MIMAROPA,2020,1,3,0,48767,220669,3513,35339,2991148656.65,1782861033.87,0.0,0.0,0.0,4774009690.52
Oriental Mindoro,MIMAROPA,2021,0,0,0,11964,55165,23,68,511198885.01,61110755.0,0.0,0.0,17489997.98,589799637.99
Oriental Mindoro,MIMAROPA,2022,0,1,1,17475,83972,38,181,101838780.9,520622000.0,0.0,0.0,0.0,622460780.9
Oriental Mindoro,MIMAROPA,2024,0,0,0,34889,144720,5,101,141980676.97,1398961136.23,0.0,20000.0,20000.0,1540981813.2
Palawan,MIMAROPA,2020,2,0,0,614,2384,0,0,222759687.02,18250000.0,0.0,0.0,0.0,241009687.02
Palawan,MIMAROPA,2021,30,2,8,126081,429664,15463,74319,4765160446.59,1428574142.18,0.0,0.0,6162953899.02,12356688487.79
Palawan,MIMAROPA,2022,0,0,0,2459,8878,46,290,661000.0,35174000.0,0.0,0.0,0.0,35835000.0
Palawan,MIMAROPA,2023,0,0,0,453,1612,3,4,0.0,0.0,0.0,0.0,0.0,0.0
Palawan,MIMAROPA,2024,10,3,0,16584,67806,5,104,254000.0,0.0,0.0,0.0,0.0,254000.0
Pampanga,III,2020,0,0,0,88373,397889,0,0,203406182.54,0.0,0.0,0.0,0.0,203406182.54
Pampanga,III,2021,0,0,0,20581,95070,0,2,10935293.45,0.0,0.0,0.0,0.0,10935293.45
Pampanga,III,2022,0,0,0,45471,150183,67,1972,570871181.8,9200000.0,0.0,0.0,0.0,580071181.8
Pampanga,III,2023,0,0,0,34894,120377,0,0,171867938.34,0.0,0.0,0.0,0.0,171867938.34
Pampanga,III,2024,2,1,0,498354,1674771,13,69,1170097321.47,89494540.07,0.0,0.0,0.0,1259591861.54
Pangasinan,I,2020,0,0,1,20587,101898,118,2816,480009180.87,801010000.0,0.0,0.0,0.0,1281019180.87
Pangasinan,I,2021,7,0,0,67288,317931,0,0,7044000.0,231542500.0,0.0,0.0,0.0,238586500.0
Pangasinan,I,2022,0,0,0,28098,118364,28,529,50457368.0,24950000.0,0.0,0.0,0.0,75407368.0
Pangasinan,I,2023,0,0,0,13543,53580,4,8,0.0,0.0,0.0,0.0,0.0,0.0
Pangasinan,I,2024,0,0,0,303724,1179845,4,16,330869096.2,524408290.46,0.0,0.0,0.0,855277386.66
Quezon,CALABARZON,2020,4,6,0,120662,459230,1996,22081,2357918882.79,499030000.0,0.0,0.0,0.0,2856948882.79
Quezon,CALABARZON,2021,1,1,0,8016,31303,63,1053,162306513.03,30945000.0,0.0,0.0,514600.0,193766113.03
Quezon,CALABARZON,2022,8,10,0,69180,254934,3924,22508,912214114.62,1111221000.0,0.0,0.0,132036230.0,2155471344.62
Quezon,CALABARZON,2023,0,0,0,303,1088,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Quezon,CALABARZON,2024,5,0,2,161036,600994,600,5037,41404484.0,552178399.82,0.0,0.0,0.0,593582883.82
Quirino,II,2020,0,0,0,133,449,0,0,41694934.2,206910000.0,0.0,0.0,0.0,248604934.2
Quirino,II,2021,0,0,0,0,0,0,0,285580.0,2567570.0,0.0,0.0,0.0,2853150.0
Quirino,II,2022,0,0,0,1152,3587,0,2,26586052.05,153541237.5,0.0,0.0,0.0,180127289.55
Quirino,II,2024,0,1,0,70972,282773,0,0,12077665.09,11888963.94,0.0,0.0,0.0,23966629.03
Rizal,CALABARZON,2020,1,0,0,2906,12572,0,0,35199942.2,0.0,0.0,0.0,0.0,35199942.2
Rizal,CALABARZON,2021,0,0,0,4892,17112,0,0,1377077.52,298750000.0,0.0,0.0,0.0,300127077.52
Rizal,CALABARZON,2022,6,2,0,13741,58836,14,21,61698967.7,142679977.81,0.0,0.0,721700.0,205100645.51
Rizal,CALABARZON,2023,2,0,0,22,84,22,0,0.0,0.0,0.0,0.0,0.0,0.0
Rizal,CALABARZON,2024,22,5,5,57098,248785,1168,5609,1264084.44,87333700.0,0.0,0.0,0.0,88597784.44
Romblon,MIMAROPA,2020,1,0,0,5162,18955,17,424,34119065.620000005,37339400.0,0.0,0.0,0.0,71458465.62
Romblon,MIMAROPA,2021,1,0,0,494,1971,2,21,7417492.5,25390000.0,0.0,0.0,0.0,32807492.5
Romblon,MIMAROPA,2022,1,0,0,3901,16840,7,197,8849000.0,98750372.0,0.0,0.0,0.0,107599372.0
Romblon,MIMAROPA,2023,0,0,0,2,9,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Romblon,MIMAROPA,2024,0,0,0,4460,18418,10,130,31317047.55,88938083.33,0.0,0.0,0.0,120255130.88
Samar,VIII,2020,0,17,0,1476,5861,18,1353,10251400.0,0.0,0.0,0.0,0.0,10251400.0
Samar,VIII,2021,5,11,0,28489,131935,267,5643,230180596.8,50000.0,0.0,0.0,726000.0,230956596.8
Samar,VIII,2022,4,3,0,5224,22199,79,485,45165684.72,0.0,0.0,0.0,0.0,45165684.72
Samar,VIII,2024,0,0,0,114416,441663,0,4,0.0,5000000.0,0.0,0.0,0.0,5000000.0
Sarangani,XII,2022,0,6,0,3399,10850,126,555,0.0,0.0,0.0,0.0,0.0,0.0
Sarangani,XII,2024,0,1,0,4815,23925,9,6,138076867.3,0.0,0.0,0.0,0.0,138076867.3
Siquijor,VII,2021,0,0,0,4730,16592,156,4509,7000000.0,0.0,0.0,0.0,7000000.0,14000000.0
Siquijor,VII,2022,0,0,0,0,0,0,0,0.0,18000000.0,0.0,0.0,0.0,18000000.0
Siquijor,VII,2024,0,0,0,49,96,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Sorsogon,V,2020,0,6,0,55198,228041,457,8142,470355530.78,324439865.24,0.0,0.0,10433900.0,805229296.02
Sorsogon,V,2021,0,0,0,828,3063,0,0,6682551.08,12500000.0,0.0,0.0,145675.0,19328226.08
Sorsogon,V,2022,2,3,0,3323,11982,0,0,85054892.63,32980000.0,0.0,0.0,2441215.82,120476108.45
Sorsogon,V,2023,0,0,0,0,0,0,0,126000.0,0.0,0.0,0.0,0.0,126000.0
Sorsogon,V,2024,0,1,0,150193,597715,18,5201,6507000.0,12500000.0,0.0,0.0,0.0,19007000.0
South Cotabato,XII,2021,0,0,0,37,170,0,0,0.0,0.0,0.0,0.0,0.0,0.0
South Cotabato,XII,2022,1,0,0,277,1164,14,219,0.0,0.0,0.0,0.0,0.0,0.0
South Cotabato,XII,2024,0,0,0,4100,20484,0,0,4849801.98,0.0,0.0,0.0,0.0,4849801.98
Southern Leyte,VIII,2020,0,0,0,0,0,0,0,175351.5,0.0,0.0,0.0,0.0,175351.5
Southern Leyte,VIII,2021,25,94,4,122303,479358,35097,63309,1751884500.88,0.0,0.0,0.0,1751281794.0,3503166294.88
Southern Leyte,VIII,2022,1,0,2,5541,18797,11,1,40269091.7,0.0,0.0,0.0,0.0,40269091.7
Southern Leyte,VIII,2023,0,0,0,121,447,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Southern Leyte,VIII,2024,0,0,0,2433,9699,0,0,0.0,3750000.0,0.0,0.0,0.0,3750000.0
Special Geographic Areas,CARAGA,2022,0,0,0,0,0,0,0,27115000.0,0.0,0.0,0.0,0.0,27115000.0
Sultan Kudarat,XII,2022,2,0,0,31956,137301,200,425,0.0,0.0,0.0,0.0,0.0,0.0
Sultan Kudarat,XII,2024,0,1,0,31308,151164,15,8,9131013.53,0.0,0.0,0.0,0.0,9131013.53
Sulu,CARAGA,2022,1,5,0,256,1289,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Surigao del Norte,CARAGA,2020,0,0,0,564,2232,0,0,4144014.0,0.0,0.0,0.0,0.0,4144014.0
Surigao del Norte,CARAGA,2021,38,376,0,185230,684565,50688,74024,1186862927.34,18027986988.3,0.0,0.0,19198480771.64,38413330687.28
Surigao del Norte,CARAGA,2022,1,0,0,559,2174,0,5,0.0,0.0,0.0,0.0,0.0,0.0
Surigao del Norte,CARAGA,2023,0,0,0,823,2802,1,0,0.0,0.0,0.0,0.0,0.0,0.0
Surigao del Norte,CARAGA,2024,0,0,0,2991,12966,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Surigao del Sur,CARAGA,2020,7,0,0,31052,131840,82,1052,67164420.0,0.0,0.0,0.0,0.0,67164420.0
Surigao del Sur,CARAGA,2021,0,5,0,139598,533392,748,9434,121389345.0,161669436.02,0.0,0.0,181566110.0,464624891.02
Surigao del Sur,CARAGA,2022,0,0,0,53,265,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Surigao del Sur,CARAGA,2023,0,0,0,76009,276969,38,1913,9709578.51,2352000.0,0.0,0.0,0.0,12061578.51
Surigao del Sur,CARAGA,2024,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Tarlac,III,2020,0,0,0,2951,14064,0,0,22165659.0,0.0,0.0,0.0,0.0,22165659.0
Tarlac,III,2021,0,0,0,0,0,0,0,35600.0,0.0,0.0,0.0,0.0,35600.0
Tarlac,III,2022,0,0,0,9061,34288,332,3729,346631934.18,2500000.0,0.0,0.0,0.0,349131934.18
Tarlac,III,2023,0,0,0,1,5,0,0,0.0,100000000.0,0.0,0.0,0.0,100000000.0
Tarlac,III,2024,0,0,0,41840,153120,8,105,183854527.22,497001064.02,0.0,0.0,0.0,680855591.24
Tawi-tawi,CARAGA,2022,1,0,0,125,0,0,0,20830009.9,0.0,0.0,0.0,0.0,20830009.9
Zambales,III,2020,0,0,0,691,2520,0,0,6614995.61,0.0,0.0,0.0,0.0,6614995.61
Zambales,III,2021,0,2,0,637,1376,0,0,7515560.92,0.0,0.0,0.0,0.0,7515560.92
Zambales,III,2022,3,5,0,2845,9421,138,357,37965712.49,0.0,0.0,0.0,0.0,37965712.49
Zambales,III,2023,0,0,0,1726,6139,0,0,8089096.96,0.0,0.0,0.0,0.0,8089096.96
Zambales,III,2024,0,4,0,16907,62543,0,5,127612071.26,564206000.0,0.0,0.0,0.0,691818071.26
Zambaonga del Sur,IX,2021,0,0,0,243,1115,135,80,0.0,0.0,0.0,0.0,0.0,0.0
Zamboanga,IX,2022,0,0,0,13595,67750,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Zamboanga Sibugay,IX,2021,0,0,0,9111,45075,4,11,8922968.44,0.0,0.0,0.0,0.0,8922968.44
Zamboanga Sibugay,IX,2022,0,0,0,0,0,0,0,7762000.0,0.0,0.0,0.0,0.0,7762000.0
Zamboanga Sibugay,IX,2024,0,0,0,1027,4074,0,0,6606037.6,0.0,0.0,0.0,0.0,6606037.6
Zamboanga del Norte,IX,2021,1,2,0,535,495,1,23,143750.0,0.0,0.0,0.0,0.0,143750.0
Zamboanga del Norte,IX,2022,1,1,0,1744,8211,91,281,5646857.0,0.0,0.0,0.0,0.0,5646857.0
Zamboanga del Norte,IX,2024,3,1,2,41063,189569,20,11,0.0,0.0,2970000.0,0.0,0.0,2970000.0
Zamboanga del Sur,IX,2021,0,0,0,0,0,0,0,13153669.25,0.0,0.0,0.0,0.0,13153669.25
Zamboanga del Sur,IX,2022,3,0,0,1939,9514,116,17,127983834.65,0.0,0.0,0.0,0.0,127983834.65
Zamboanga del Sur,IX,2024,5,0,0,7742,28952,0,13,1726221.0,0.0,20000.0,0.0,0.0,1746221.0
without breakdown,V,2020,0,0,0,0,0,0,0,1156000.0,5769000000.0,0.0,0.0,0.0,5770156000.0
without breakdown,V,2021,10,26,6,0,0,0,0,0.0,15500000.0,0.0,0.0,0.0,15500000.0
without breakdown,V,2024,179,160,26,37,169,35341,287509,10331107800.94,14689416996.22,9520200.0,1600000.0,203000.0,25031847997.16
